winery,wine,year,rating,num_review,region,price,type,grapes
Campillo,Crianza Rioja 2017,2017,"3,7",498,España / Rioja,"10,95",Vino tinto,100 % de Tempranillo
Gran Feudo,Chardonnay 2018,2018,"3,5",116,España / Navarra,"6,10",Vino blanco,100 % de Chardonnay
Costerduo,Tinto 2017,2017,"4,3",100,España / Cataluña / Priorato,"22,25",Vino tinto,"Garnacha, Cariñena"
Albet i Noya,Efecte Classic Penedès Brut Reserva 2016,2016,"3,9",131,España / Cataluña / Penedès,"15,15",Vino espumoso,"Chardonnay, Macabeo, Parellada"
Cune (CVNE),Reserva 1998,1998,"3,9",27,España / Rioja,80,Vino tinto,Tempranillo
Vega Sicilia,Unico Reserva Especial Edición 1991,1991,"4,7",440,España / Castilla y León / Ribera del Duero,"895,40",Vino tinto,"Cabernet Sauvignon, Tinto Fino"
Bodegas Casa Primicia,Gr Graciano 2018,2018,"3,3",169,España / Rioja,8,Vino tinto,Graciano
Castell del Remei,Gotim Blanc 2019,2019,"3,6",161,España / Cataluña / Costers del Segre,"6,70",Vino blanco,"Sauvignon Blanc, Macabeo"
Volver,Alicante Bouschet by Tarima 2017,2017,"4,3",723,España / Valencia / Alicante,"17,15",Vino tinto,100 % de Alicante Bouschet
Llopart,Cava Integral Brut Nature 2017,2017,"4,0",84,España / Cava,"13,95",Vino espumoso,"40 % de Parellada, 30 % de Chardonnay, 30 % de Xarel-lo"
Vivanco,Rioja Blanco 2020,2020,"3,6",145,España / Rioja,"6,40",Vino blanco,"50 % de Viura, 35 % de Tempranillo Blanco, 15 % de Maturana Blanca"
Monte Real,Reserva 2015,2015,"3,9",726,España / Rioja,"11,95",Vino tinto,100 % de Tempranillo
Coto de Gomariz (María Álvarez Serrano),The Flower and the Bee La Flor y La Abeja Tinto 2016,2016,"3,4",36,España / Galicia / Ribeiro,"9,70",Vino tinto,Souzao
Bodegas Castelo de Medina,FB Verdejo 2018,2018,"3,9",41,España / Castilla y León / Rueda,12,Vino blanco,Verdejo
Espectacle del Montsant,Tinto 2015,2015,"4,3",134,España / Cataluña / Tarragona / Montsant,102,Vino tinto,100 % de Grenache
Orowines,Kentia Albariño 2020,2020,"3,8",98,España / Galicia / Rías Baixas,"9,75",Vino blanco,100 % de Albariño
Jaro,Jaros 2017,2017,"4,0",414,España / Castilla y León / Ribera del Duero,"13,99",Vino tinto,100 % de Tempranillo
Alta Alella,Laietà Gran Reserva Brut Nature 2017,2017,"4,1",424,España / Cava,"23,15",Vino espumoso,"Chardonnay, Pinot Noir, Xarel-lo"
Castaño,Solanera Viñas Viejas 2017,2017,"3,8",495,España / Murcia / Yecla,"11,13",Vino tinto,100 % de Mourvedre
Bodega Juan Carlos Sancha,Ad Libitum Tempranillo Blanco 2019,2019,"3,7",48,España / Rioja,"9,40",Vino blanco,100 % de Tempranillo Blanco
Rigol,Cava Brut N.V.,5093,"3,2",895,España / Cava,"4,05",Vino espumoso,"Macabeo, Xarel-lo, Parellada"
Equipo Navazos,La Bota 99 de Florpower 2019,2019,"3,5",34,España / Andalucía / Jerez-Xérès-Sherry / Manzanilla,"23,50",Vino blanco,100 % de Palomino
Mas d'en Gil,Clos Fontà Priorat 2004,2004,"4,6",204,España / Cataluña / Priorato,"52,50",Vino tinto,"Cariñena, Garnacha, Garnacha Peluda"
